agent;date;id;igs_timestamp;record_id;source;time;type;value
TARS Agent;2026-02-05;93132df3-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;interaction_message;03:55:56.367106000;3;"b'{""message"": ""CAUTION\\n\\nLIMIT GROUND OPERATION OF PITOT-STATIC HEAT TO TWO MINUTES TO PRECLUDE DAMAGE TO THE PITOT-STATIC AND STALL WARNING HEATERS."", ""tars_input"": ""Pitot heat is ON.""}'"
TARS Agent;2026-02-05;93132df4-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;tts_request;03:55:56.367135000;3;b'Pitot heat is ON'
TARS Agent;2026-02-05;93132df5-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;action_time;03:55:56.367162000;3;b'action:0.40'
Shared Interface;2026-02-05;9315c600-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;countdown_complete;03:55:56.384941000;5;
TTS_Agent;2026-02-05;931e9fa0-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;is_speaking;03:55:56.442832000;4;b'\x00'
TTS_Agent;2026-02-05;931e9fa1-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;current_text;03:55:56.442933000;3;b''
Cognitive_Model;2026-02-05;933ada30-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:55:56.627377000;3;b'encode-sound'
Aircraft;2026-02-05;936852d0-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;cabin_altitude;03:55:56.925248000;2;b'fffff\xe6Y@'
Cognitive_Model;2026-02-05;93693d30-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:55:56.931916000;3;b'detected-sound'
Cognitive_Model;2026-02-05;93b5af80-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:55:57.432876000;3;b'encode-sound'
Aircraft;2026-02-05;93e3eb70-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;cabin_altitude;03:55:57.735124000;2;b'\x00\x00\x00\x00\x00\xe0Y@'
Cognitive_Model;2026-02-05;93f2b880-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:55:57.832100000;3;b'sound-encoded-from-tars'
Cognitive_Model;2026-02-05;9409ea00-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:55:57.984526000;3;b'resume-task-has-read-task-object-from-tars'
Cognitive_Model;2026-02-05;94300fa0-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:55:58.234983000;3;b'2-1-visually-attend-current-task-value'
Cognitive_Model;2026-02-05;943f78f0-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:55:58.335168000;3;b'2-2-visually-encode-task-value-item'
Cognitive_Model;2026-02-05;943f78f1-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:55:58.335723000;3;b'2-3-form-task-value-item-representation'
Cognitive_Model;2026-02-05;94565c50-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:55:58.485361000;3;b'x-4-not-wait-task'
Aircraft;2026-02-05;9460bc90-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;cabin_altitude;03:55:58.553204000;2;b'\x9a\x99\x99\x99\x99\xd9Y@'
Cognitive_Model;2026-02-05;946d66c0-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:55:58.636784000;3;b'x-5-not-n-a-task-continue'
Cognitive_Model;2026-02-05;947507e0-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:55:58.686808000;3;b'x-6-not-waiting-new-task-both'
Cognitive_Model;2026-02-05;947ca900-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:55:58.736671000;3;b't-i-x-1-visually-attend-current-task-human-role'
Cognitive_Model;2026-02-05;948c1250-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:55:58.837229000;3;b'detected-sound'
Cognitive_Model;2026-02-05;94c91b50-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:55:59.237913000;3;b'encode-sound'
Cognitive_Model;2026-02-05;94f70920-0246-11f1-8f29-9533d9ce85de;;10ed39d0-0244-11f1-8f29-9533d9ce85de;production_selected;03:55:59.538623000;3;b'sound-encoded-from-atc-not-in-atc-task'
